gname,glong,glat,radius,vlsr,e_vlsr,line,e_line,line_unit,beam_area,line_freq,fwhm,e_fwhm,te,e_te,source,author,telescope,kdar,Rgal,near,far,tangent,vlsr_tangent,plx,dist_author,te_priority
G013.631+00.192,13.631,0.192,42.5,33.0,0.2,7.56,0.124,mJy/beam,6893.719775719162,8000.0,28.9,0.6,,500.0,WISE Catalog,Anderson et al. (2011),GBT,,5.092706064273353,3.227157157157154,12.649342342342331,7.93387687687687,111.6138476254958,,,0
G013.725-00.024,13.7257,-0.0230478,311.932,36.5,0.9,203.28,12.32,mJy/beam,146848.46859520106,8000.0,31.5,2.2,,500.0,WISE Catalog,Lockman  Pisano  & Howard (1996),NRAO 140',,4.859064088417648,3.478978978978976,12.386481481481471,7.934210210210203,111.66089926153361,0.264,Sanna et al. (2014),0
G013.776-00.795,13.7762,-0.794796,542.536,24.5,0.7,184.8,12.32,mJy/beam,146848.46859520106,8000.0,20.0,1.6,,500.0,WISE Catalog,Lockman (1989),NRAO 140',,5.733817445732095,2.5564074074074052,13.330536536536524,7.933402402402395,111.64800673884665,,,0
G013.789+00.189,13.7894,0.189117,102.825,36.9,1.1,141.68,13.552000000000001,mJy/beam,146848.46859520106,8000.0,23.9,2.7,,500.0,WISE Catalog,Lockman  Pisano  & Howard (1996),NRAO 140',,4.864485325618544,3.4612222222222195,12.34886986986986,7.930074074074067,111.90761958831219,,,0
G013.880+00.285,13.88,0.285141,144.315,50.28,0.1,535.7326072372834,4.560023501659585,mJy/beam,41770.0,8000.0,22.47,0.22,6264.0,72.0,Balser+2015,"Quireza et al. (2006a), Balser et al. (2015)",NRAO 140 Foot,,4.035158955571672,4.389969969969966,11.436090090090081,7.933228228228221,111.65761737990346,0.254,Sato et al. (2014),0
G013.890-00.475,13.89,-0.475,103.16,13.0,0.1,17.040000000000003,0.12,mJy/beam,6893.719775719162,8000.0,22.3,0.2,,500.0,WISE Catalog,Anderson et al. (2011),GBT,,6.72067501081115,1.4948508508508493,14.373199199199187,7.927990990990985,111.45094547393363,,,0
G013.899-00.014,13.899,-0.0132122,60.0,32.6,0.9,252.56,25.872000000000003,mJy/beam,146848.46859520106,8000.0,18.7,2.2,,500.0,WISE Catalog,Lockman (1989),NRAO 140',,5.16765850282444,3.1757897897897873,12.717685685685675,7.929433433433426,112.00113359599577,,,0
G013.992-00.131,13.9926,-0.130706,168.607,36.0,0.8,449.68000000000006,31.415999999999997,mJy/beam,146848.46859520106,8000.0,23.7,1.9,,500.0,WISE Catalog,Lockman (1989),NRAO 140',,4.939002852472962,3.3756976976976945,12.459383383383374,7.924588588588582,112.60782398617305,,,0
G014.000-00.206,14.0007,-0.205146,146.349,40.7,0.1,18.32,0.22400000000000003,mJy/beam,6893.719775719162,8000.0,16.5,0.2,,500.0,WISE Catalog,Anderson et al. (2015b),GBT,,4.646528150302378,3.673558558558555,12.142343343343333,7.928245245245239,111.66406732925387,,,0
G014.060-00.521,14.0608,-0.520589,161.011,20.6,1.5,135.52,17.864,mJy/beam,146848.46859520106,8000.0,24.0,3.6,,500.0,WISE Catalog,Lockman (1989),NRAO 140',,6.102948881917957,2.186013013013011,13.698765765765753,7.92232732732732,112.79147172159594,,,0
